Bias,Current,Resistance
0.0000e+00,1.3678e-08,0.0000e+00
-3.9500e-01,-2.5249e-08,1.5644e+07
-7.8900e-01,-1.0807e-07,7.3010e+06
-1.1840e+00,-1.6546e-07,7.1558e+06
-1.5790e+00,-2.4958e-07,6.3266e+06
-1.9740e+00,-3.8246e-05,5.1613e+04
-2.3680e+00,-1.3092e-04,1.8087e+04
-2.7630e+00,-4.9606e-05,5.5699e+04
-3.1580e+00,-1.8842e-05,1.6760e+05
-3.5530e+00,-9.6828e-06,3.6694e+05
-3.9470e+00,-3.9432e-03,1.0010e+03
-4.3420e+00,-4.5360e-03,9.5723e+02
-4.7370e+00,-5.4102e-03,8.7557e+02
-5.1320e+00,-5.7372e-03,8.9451e+02
-5.5260e+00,-6.3398e-03,8.7164e+02
-5.9210e+00,-7.3606e-03,8.0442e+02
-6.3160e+00,-7.9876e-03,7.9073e+02
-6.7110e+00,-8.5586e-03,7.8412e+02
-7.1050e+00,-9.1514e-03,7.7638e+02
-7.5000e+00,-9.4422e-03,7.9431e+02
-7.8950e+00,-1.0123e-02,7.7994e+02
-8.2890e+00,-1.1273e-02,7.3532e+02
-8.6840e+00,-1.1896e-02,7.2999e+02
-9.0790e+00,-1.2488e-02,7.2702e+02
-9.4740e+00,-1.3058e-02,7.2553e+02
-9.8680e+00,-1.3608e-02,7.2516e+02
-1.0263e+01,-1.4262e-02,7.1960e+02
-1.0658e+01,-1.4884e-02,7.1607e+02
-1.1053e+01,-1.5516e-02,7.1236e+02
-1.1447e+01,-1.6034e-02,7.1392e+02
-1.1842e+01,-1.6834e-02,7.0346e+02
-1.2237e+01,-1.7574e-02,6.9631e+02
-1.2632e+01,-1.8374e-02,6.8749e+02
-1.3026e+01,-1.9068e-02,6.8313e+02
-1.3421e+01,-1.9770e-02,6.7886e+02
-1.3816e+01,-2.0528e-02,6.7303e+02
-1.4211e+01,-2.0976e-02,6.7749e+02
-1.4605e+01,-2.1832e-02,6.6897e+02
-1.5000e+01,-2.2714e-02,6.6039e+02
-1.5000e+01,-2.2754e-02,6.5922e+02
-1.4605e+01,-2.1954e-02,6.6525e+02
-1.4211e+01,-2.1278e-02,6.6787e+02
-1.3816e+01,-2.0550e-02,6.7231e+02
-1.3421e+01,-1.9846e-02,6.7626e+02
-1.3026e+01,-1.9154e-02,6.8007e+02
-1.2632e+01,-1.8478e-02,6.8362e+02
-1.2237e+01,-1.7788e-02,6.8794e+02
-1.1842e+01,-1.7118e-02,6.9179e+02
-1.1447e+01,-1.6468e-02,6.9511e+02
-1.1053e+01,-1.5828e-02,6.9832e+02
-1.0658e+01,-1.5182e-02,7.0202e+02
-1.0263e+01,-1.4558e-02,7.0497e+02
-9.8680e+00,-1.3920e-02,7.0891e+02
-9.4740e+00,-1.3290e-02,7.1287e+02
-9.0790e+00,-1.2664e-02,7.1691e+02
-8.6840e+00,-1.2062e-02,7.1995e+02
-8.2890e+00,-1.1444e-02,7.2431e+02
-7.8950e+00,-1.0846e-02,7.2792e+02
-7.5000e+00,-1.0250e-02,7.3171e+02
-7.1050e+00,-9.6568e-03,7.3575e+02
-6.7110e+00,-9.0660e-03,7.4024e+02
-6.3160e+00,-8.4740e-03,7.4534e+02
-5.9210e+00,-7.8824e-03,7.5117e+02
-5.5260e+00,-7.2904e-03,7.5798e+02
-5.1320e+00,-6.7004e-03,7.6592e+02
-4.7370e+00,-6.1096e-03,7.7534e+02
-4.3420e+00,-5.5184e-03,7.8682e+02
-3.9470e+00,-4.9254e-03,8.0136e+02
-3.5530e+00,-4.3358e-03,8.1946e+02
-3.1580e+00,-3.7458e-03,8.4308e+02
-2.7630e+00,-3.1560e-03,8.7548e+02
-2.3680e+00,-2.5658e-03,9.2291e+02
-1.9740e+00,-1.9794e-03,9.9727e+02
-1.5790e+00,-1.3926e-03,1.1339e+03
-1.1840e+00,-8.1182e-04,1.4585e+03
-7.8900e-01,-2.5600e-04,3.0820e+03
-3.9500e-01,-7.5170e-07,5.2548e+05
0.0000e+00,2.2048e-08,0.0000e+00
0.0000e+00,2.0921e-08,0.0000e+00
3.8450e-01,3.9369e-08,9.7665e+06
7.6925e-01,5.1388e-08,1.4970e+07
1.1538e+00,6.0726e-08,1.8999e+07
1.5385e+00,6.8083e-08,2.2597e+07
1.9230e+00,7.3913e-08,2.6017e+07
2.3077e+00,7.9073e-08,2.9185e+07
2.6923e+00,8.3458e-08,3.2259e+07
3.0770e+00,8.7188e-08,3.5292e+07
3.4615e+00,9.0651e-08,3.8185e+07
3.8463e+00,9.3504e-08,4.1135e+07
4.2308e+00,9.6269e-08,4.3947e+07
4.6155e+00,9.8634e-08,4.6794e+07
5.0000e+00,1.0076e-07,4.9623e+07
5.0000e+00,1.0074e-07,4.9633e+07
4.6155e+00,9.8726e-08,4.6751e+07
4.2308e+00,9.6438e-08,4.3870e+07
3.8463e+00,9.3795e-08,4.1007e+07
3.4615e+00,9.0841e-08,3.8105e+07
3.0770e+00,8.7521e-08,3.5157e+07
2.6923e+00,8.3753e-08,3.2145e+07
2.3077e+00,7.9438e-08,2.9051e+07
1.9230e+00,7.4418e-08,2.5841e+07
1.5385e+00,6.8397e-08,2.2494e+07
1.1538e+00,6.1026e-08,1.8906e+07
7.6925e-01,5.1903e-08,1.4821e+07
3.8450e-01,3.9843e-08,9.6503e+06
0.0000e+00,2.1082e-08,0.0000e+00
